"left_shoulder_extensor_controller_torso"	13	0		
"left_shoulder_flexor_controller_torso"	13	13		
"left_shoulder_adductor_controller_torso"	13	26		
"left_shoulder_abductor_controller_torso"	13	39		
"right_shoulder_extensor_controller_torso"	13	143		
"right_shoulder_flexor_controller_torso"	13	156		
"right_shoulder_adductor_controller_torso"	13	169		
"right_shoulder_abductor_controller_torso"	13	182		
"left_shoulder_extensor_controller_left_arm"	13	0		
"left_shoulder_flexor_controller_left_arm"	13	13		
"left_shoulder_adductor_controller_left_arm"	13	26		
"left_shoulder_abductor_controller_left_arm"	13	39		
"left_elbow_flexor_controller_left_arm"	13	52		
"left_elbow_ext_controller_left_arm"	13	65		
"left_elbow_flexor_controller_left_forearm"	13	52		
"left_elbow_ext_controller_left_forearm"	13	65		
"left_wrist_flexor_controller_left_forearm"	13	78
"left_wrist_ext_controller_left_forearm"	13	91
"left_wrist_abd_controller_left_forearm"	13	104
"left_wrist_add_controller_left_forearm"	13	117
"left_wrist_flexor_controller_left_hand"	13	78
"left_wrist_ext_controller_left_hand"	13	91
"left_wrist_abd_controller_left_hand"	13	104
"left_wrist_add_controller_left_hand"	13	117
"left_hand_grip_controller"	13	130
"right_shoulder_extensor_controller_right_arm"	13	143
"right_shoulder_flexor_controller_right_arm"	13	156
"right_shoulder_adductor_controller_right_arm"	13	169
"right_shoulder_abductor_controller_right_arm"	13	182
"right_elbow_flexor_controller_right_arm"	13	195
"right_elbow_ext_controller_right_arm"	13	208
"right_elbow_flexor_controller_right_forearm"	13	195
"right_elbow_ext_controller_right_forearm"	13	208
"right_wrist_flexor_controller_right_forearm"	13	221
"right_wrist_ext_controller_right_forearm"	13	234
"right_wrist_abd_controller_right_forearm"	13	247
"right_wrist_add_controller_right_forearm"	13	260
"right_wrist_flexor_controller_right_hand"	13	221
"right_wrist_ext_controller_right_hand"	13	234
"right_wrist_abd_controller_right_hand"	13	247
"right_wrist_add_controller_right_hand"	13	260
"right_hand_grip_controller"	13	273
