Time	Sin	Left_Hand_X	Right_Hand_X	Left_Hand_Y	Right_Hand_Y	Left_Grip	Right_Grip
0.336	0.344642923	11.09714286	10.4	16.72321462	14.5	0	500
0.34	0.348572047	11.10857143	10.4	16.74286024	14.5	0	500
0.344	0.352495055	11.12	10.4	16.76247528	14.5	0	500
0.348	0.356411879	11.13142857	10.4	16.78205939	14.5	0	500
0.352	0.360322448	11.14285714	10.4	16.80161224	14.5	0	500
0.356	0.364226696	11.15428571	10.4	16.82113348	14.5	0	500
0.36	0.368124553	11.16571429	10.4	16.84062276	14.5	0	500
0.364	0.37201595	11.17714286	10.4	16.86007975	14.5	0	500
0.368	0.375900821	11.18857143	10.4	16.8795041	14.5	0	500
0.372	0.379779096	11.2	10.4	16.89889548	14.5	0	500
0.376	0.383650707	11.21142857	10.4	16.91825353	14.5	0	500
0.38	0.387515586	11.22285714	10.4	16.93757793	14.5	0	500
0.384	0.391373667	11.23428571	10.4	16.95686833	14.5	0	500
0.388	0.39522488	11.24571429	10.4	16.9761244	14.5	0	500
0.392	0.399069159	11.25714286	10.4	16.99534579	14.5	0	500
0.396	0.402906436	11.26857143	10.4	17.01453218	14.5	0	500
0.4	0.406736643	11.28	10.4	17.03368322	14.5	0	500
0.404	0.410559714	11.29142857	10.4	17.05279857	14.5	0	500
0.408	0.414375581	11.30285714	10.4	17.0718779	14.5	0	500
0.412	0.418184178	11.31428571	10.4	17.09092089	14.5	0	500
0.416	0.421985437	11.32571429	10.4	17.10992718	14.5	0	500
0.42	0.425779292	11.33714286	10.4	17.12889646	14.5	0	500
0.424	0.429565676	11.34857143	10.4	17.14782838	14.5	0	500
0.428	0.433344523	11.36	10.4	17.16672261	14.5	0	500
0.432	0.437115767	11.37142857	10.4	17.18557883	14.5	0	500
0.436	0.440879341	11.38285714	10.4	17.2043967	14.5	0	500
0.44	0.444635179	11.39428571	10.4	17.2231759	14.5	0	500
0.444	0.448383216	11.40571429	10.4	17.24191608	14.5	0	500
0.448	0.452123386	11.41714286	10.4	17.26061693	14.5	0	500
0.452	0.455855622	11.42857143	10.4	17.27927811	14.5	0	500
0.456	0.459579861	11.44	10.4	17.2978993	14.5	0	500
0.46	0.463296035	11.45142857	10.4	17.31648018	14.5	0	500
0.464	0.467004081	11.46285714	10.4	17.3350204	14.5	0	500
0.468	0.470703932	11.47428571	10.4	17.35351966	14.5	0	500
0.472	0.474395525	11.48571429	10.4	17.37197762	14.5	0	500
0.476	0.478078794	11.49714286	10.4	17.39039397	14.5	0	500
0.48	0.481753674	11.50857143	10.4	17.40876837	14.5	0	500
0.484	0.485420102	11.52	10.4	17.42710051	14.5	0	500
0.488	0.489078012	11.53142857	10.4	17.44539006	14.5	0	500
0.492	0.492727342	11.54285714	10.4	17.46363671	14.5	0	500
0.496	0.496368025	11.55428571	10.4	17.48184013	14.5	0	500
0.5	0.5	11.56571429	10.4	17.5	14.5	0	500
0.504	0.503623202	11.57714286	10.4	17.51811601	14.5	0	500
0.508	0.507237567	11.58857143	10.4	17.53618783	14.5	0	500
0.512	0.510843032	11.6	10.4	17.55421516	14.5	0	500
0.516	0.514439534	11.61142857	10.4	17.57219767	14.5	0	500
0.52	0.518027009	11.62285714	10.4	17.59013505	14.5	0	500
0.524	0.521605396	11.63428571	10.4	17.60802698	14.5	0	500
0.528	0.52517463	11.64571429	10.4	17.62587315	14.5	0	500
0.532	0.52873465	11.65714286	10.4	17.64367325	14.5	0	500
0.536	0.532285392	11.66857143	10.4	17.66142696	14.5	0	500
0.54	0.535826795	11.68	10.4	17.67913397	14.5	0	500
0.544	0.539358796	11.69142857	10.4	17.69679398	14.5	0	500
0.548	0.542881334	11.70285714	10.4	17.71440667	14.5	0	500
0.552	0.546394347	11.71428571	10.4	17.73197173	14.5	0	500
0.556	0.549897772	11.72571429	10.4	17.74948886	14.5	0	500
0.56	0.553391549	11.73714286	10.4	17.76695775	14.5	0	500
0.564	0.556875616	11.74857143	10.4	17.78437808	14.5	0	500
0.568	0.560349913	11.76	10.4	17.80174956	14.5	0	500
0.572	0.563814377	11.77142857	10.4	17.81907189	14.5	0	500
0.576	0.567268949	11.78285714	10.4	17.83634475	14.5	0	500
0.58	0.570713568	11.79428571	10.4	17.85356784	14.5	0	500
0.584	0.574148173	11.80571429	10.4	17.87074086	14.5	0	500
0.588	0.577572703	11.81714286	10.4	17.88786352	14.5	0	500
0.592	0.5809871	11.82857143	10.4	17.9049355	14.5	0	500
0.596	0.584391303	11.84	10.4	17.92195652	14.5	0	500
0.6	0.587785252	11.85142857	10.4	17.93892626	14.5	0	500
0.604	0.591168888	11.86285714	10.4	17.95584444	14.5	0	500
0.608	0.594542152	11.87428571	10.4	17.97271076	14.5	0	500
0.612	0.597904983	11.88571429	10.4	17.98952492	14.5	0	500
0.616	0.601257324	11.89714286	10.4	18.00628662	14.5	0	500
0.62	0.604599115	11.90857143	10.4	18.02299557	14.5	0	500
0.624	0.607930298	11.92	10.4	18.03965149	14.5	0	500
0.628	0.611250814	11.93142857	10.4	18.05625407	14.5	0	500
0.632	0.614560605	11.94285714	10.4	18.07280302	14.5	0	500
0.636	0.617859613	11.95428571	10.4	18.08929807	14.5	0	500
0.64	0.62114778	11.96571429	10.4	18.1057389	14.5	0	500
0.644	0.624425049	11.97714286	10.4	18.12212524	14.5	0	500
0.648	0.627691361	11.98857143	10.4	18.13845681	14.5	0	500
0.652	0.63094666	12	10.4	18.1547333	14.5	0	500
0.656	0.634190889	12.01142857	10.4	18.17095444	14.5	0	500
0.66	0.63742399	12.02285714	10.4	18.18711995	14.5	0	500
0.664	0.640645907	12.03428571	10.4	18.20322953	14.5	0	500
0.668	0.643856583	12.04571429	10.4	18.21928291	14.5	0	500
