time	torso_X	torso_Y	torso_Z	torso_R00	torso_R01	torso_R02	torso_R10	torso_R11	torso_R12	torso_r20	torso_R21	torso_R22	left_arm_X	left_arm_Y	left_arm_Z	left_arm_R00	left_arm_R01	left_arm_R02	left_arm_R10	left_arm_R11	left_arm_R12	left_arm_r20	left_arm_R21	left_arm_R22	left_forearm_X	left_forearm_Y	left_forearm_Z	left_forearm_R00	left_forearm_R01	left_forearm_R02	left_forearm_R10	left_forearm_R11	left_forearm_R12	left_forearm_r20	left_forearm_R21	left_forearm_R22	left_hand_X	left_hand_Y	left_hand_Z	left_hand_R00	left_hand_R01	left_hand_R02	left_hand_R10	left_hand_R11	left_hand_R12	left_hand_r20	left_hand_R21	left_hand_R22	right_arm_X	right_arm_Y	right_arm_Z	right_arm_R00	right_arm_R01	right_arm_R02	right_arm_R10	right_arm_R11	right_arm_R12	right_arm_r20	right_arm_R21	right_arm_R22	right_forearm_X	right_forearm_Y	right_forearm_Z	right_forearm_R00	right_forearm_R01	right_forearm_R02	right_forearm_R10	right_forearm_R11	right_forearm_R12	right_forearm_r20	right_forearm_R21	right_forearm_R22	right_hand_X	right_hand_Y	right_hand_Z	right_hand_R00	right_hand_R01	right_hand_R02	right_hand_R10	right_hand_R11	right_hand_R12	right_hand_r20	right_hand_R21	right_hand_R22
0.004	5	16.6	12.2	0.6	0	-0.8	0	1	0	0.8	0	0.6	6.8	18.6	14.6	0.6	0	-0.8	0	1	0	0.8	0	0.6	8.6	18.6	17	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796	10.4	18.6	19.4	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796	6.8	14.6	14.6	0.6	0	-0.8	0	1	0	0.8	0	0.6	8.6	14.6	17	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796	10.4	14.6	19.4	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796
0.008	5	16.6	12.2	0.6	0	-0.8	0	1	0	0.8	0	0.6	6.8	18.6	14.6	0.6	0	-0.8	0	1	0	0.8	0	0.6	8.6	18.6	17	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796	10.4	18.6	19.4	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796	6.8	14.6	14.6	0.6	0	-0.8	0	1	0	0.8	0	0.6	8.6	14.6	17	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796	10.4	14.6	19.4	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796
0.012	4.99993	16.6001	12.1999	0.59943	0.000125533	-0.800427	0.000150027	1	0.000269186	0.800427	-0.000281444	0.59943	6.79847	18.6005	14.6006	0.600172	6.14137e-05	-0.799871	-0.000102525	1	-1.48444e-07	0.799871	8.20956e-05	0.600172	8.59899	18.6002	17.0002	0.600754	-0.799434	-0.000698372	-0.000103104	0.000796103	-1	0.799434	0.600754	0.000395838	10.4012	18.5999	19.3985	0.599058	-0.800705	-0.00070426	-0.000111245	0.00079632	-1	0.800705	0.599058	0.000387968	6.79797	14.6005	14.6017	0.602895	0.00040109	-0.79782	-0.00066918	1	-2.953e-06	0.79782	0.000535666	0.602895	8.60665	14.5985	16.9952	0.596616	-0.802526	-0.00103641	-0.000662934	0.0007986	-0.999999	0.802527	0.596616	-5.55637e-05	10.3965	14.5965	19.4028	0.601982	-0.79851	0.000572527	0.00199839	0.000789556	-0.999998	0.798507	0.601982	0.00207103
0.016	4.99983	16.6001	12.1997	0.598694	0.000280567	-0.800978	0.000420875	1	0.000664865	0.800978	-0.000735162	0.598694	6.79648	18.6014	14.6011	0.600253	0.000173017	-0.79981	-0.0002863	1	1.45625e-06	0.79981	0.000228111	0.600253	8.59723	18.6005	17.0006	0.601965	-0.798522	-0.000809927	-0.000288008	0.000797168	-1	0.798522	0.601965	0.000249886	10.4031	18.5997	19.3961	0.597554	-0.801829	-0.0008409	-0.00033818	0.000796703	-1	0.801829	0.597554	0.000204911	6.79535	14.6014	14.6041	0.607009	0.00106221	-0.794694	-0.0017678	0.999998	-1.36724e-05	0.794693	0.00141316	0.60701	8.61638	14.5961	16.9881	0.592015	-0.805925	-0.00169504	-0.00175283	0.000815633	-0.999998	0.805925	0.592017	-0.000929784	10.3924	14.5908	19.4059	0.604797	-0.796376	0.00239787	0.00566171	0.00128878	-0.999983	0.796359	0.604801	0.0052883
0.02	4.9997	16.6003	12.1993	0.597689	0.000491738	-0.801728	0.00080978	0.999999	0.00121704	0.801728	-0.00137663	0.597688	6.79375	18.6027	14.6017	0.600446	0.00035181	-0.799665	-0.000551175	1	2.60841e-05	0.799665	0.000425094	0.600446	8.59509	18.601	17.0007	0.603376	-0.797456	-0.000988604	-0.000554189	0.000820383	-1	0.797457	0.603376	5.3058e-05	10.4052	18.5994	19.3931	0.595741	-0.803176	-0.00104101	-0.000668312	0.000800411	-0.999999	0.803177	0.595741	-5.99351e-05	6.79178	14.6027	14.6072	0.61262	0.00193985	-0.790375	-0.00320947	0.999995	-3.33362e-05	0.790371	0.00255711	0.612623	8.62964	14.5931	16.9784	0.586014	-0.810297	-0.00256925	-0.00318234	0.00086923	-0.999995	0.810295	0.586019	-0.00206926	10.3877	14.5835	19.4092	0.608392	-0.793624	0.00456045	0.0109469	0.00264588	-0.999937	0.793561	0.608403	0.0102974
0.024	4.99959	16.6004	12.1988	0.596809	0.000671351	-0.802383	0.0013077	0.999998	0.00180935	0.802382	-0.00212911	0.596806	6.79136	18.6043	14.6017	0.600268	0.000618072	-0.799799	-0.000890676	1	0.000104312	0.799799	0.000649747	0.600268	8.59216	18.6016	17.0011	0.605115	-0.796137	-0.00125497	-0.000896131	0.00089521	-0.999999	0.796137	0.605116	-0.000171737	10.4075	18.599	19.3895	0.593676	-0.804703	-0.00130162	-0.00109117	0.000812498	-0.999999	0.804704	0.593676	-0.000395705	6.78867	14.6043	14.6102	0.618374	0.00298324	-0.785878	-0.00484796	0.999988	-1.86423e-05	0.785869	0.00382143	0.618381	8.64379	14.5898	16.9678	0.579723	-0.814806	-0.00360905	-0.00480477	0.00101076	-0.999988	0.8148	0.579733	-0.003329	10.383	14.5754	19.4122	0.612405	-0.790516	0.00660197	0.0173306	0.00507573	-0.999837	0.790354	0.61242	0.0168085
0.028	4.99946	16.6006	12.1982	0.595722	0.000855354	-0.80319	0.00193366	0.999995	0.00249913	0.803188	-0.00304188	0.595718	6.78834	18.6063	14.6017	0.600416	0.00101164	-0.799687	-0.00132141	0.999999	0.000272904	0.799687	0.000892862	0.600417	8.58959	18.6024	17.0008	0.606557	-0.795039	-0.00164845	-0.00132961	0.00105902	-0.999999	0.795039	0.606558	-0.000414734	10.4093	18.5984	19.3859	0.591728	-0.806136	-0.00161305	-0.00158427	0.000838068	-0.999998	0.806136	0.591729	-0.000781227	6.78492	14.6064	14.6139	0.625222	0.00424982	-0.780436	-0.00671937	0.999977	6.2308e-05	0.780418	0.00520508	0.625236	8.66058	14.5862	16.9551	0.572295	-0.820033	-0.0048713	-0.00664796	0.00130066	-0.999977	0.820021	0.572315	-0.00470718	10.3775	14.5663	19.4152	0.617013	-0.786906	0.00860925	0.0249744	0.00864563	-0.999651	0.786556	0.617013	0.024987
0.032	4.99939	16.6007	12.1975	0.594863	0.000959062	-0.803827	0.00268732	0.999991	0.00318183	0.803823	-0.0040529	0.594855	6.78589	18.6088	14.6009	0.600127	0.00155892	-0.799903	-0.00184282	0.999998	0.000566306	0.799903	0.00113422	0.600129	8.58627	18.6032	17.0006	0.608251	-0.793742	-0.0021959	-0.00185661	0.00134377	-0.999997	0.793743	0.608253	-0.00065632	10.411	18.5977	19.3818	0.589664	-0.807646	-0.00197538	-0.00213539	0.000886785	-0.999997	0.807646	0.589667	-0.00120173	6.78206	14.6088	14.6171	0.631739	0.00577016	-0.77516	-0.00878556	0.999961	0.000283496	0.775131	0.00663112	0.631765	8.67727	14.5824	16.9425	0.564983	-0.825078	-0.00638744	-0.0086651	0.00180778	-0.999961	0.825057	0.565016	-0.00612803	10.3722	14.5565	19.4176	0.621743	-0.783151	0.0105095	0.0337369	0.013373	-0.999341	0.782494	0.621688	0.0347357
0.036	4.99932	16.6009	12.1967	0.593833	0.00103057	-0.804588	0.00357962	0.999986	0.00392283	0.80458	-0.00520962	0.593821	6.78288	18.6116	14.6	0.600198	0.00228944	-0.799848	-0.00246318	0.999996	0.00101398	0.799847	0.00136158	0.600202	8.58348	18.6042	16.9996	0.609556	-0.792737	-0.00292638	-0.00248428	0.00178124	-0.999995	0.792739	0.609561	-0.000883619	10.4121	18.5968	19.3778	0.587817	-0.80899	-0.00238881	-0.00273218	0.000967604	-0.999996	0.808989	0.587821	-0.00164153	6.77876	14.6117	14.6209	0.639034	0.00760935	-0.769141	-0.011003	0.999939	0.00075094	0.7691	0.00798301	0.639078	8.69586	14.5787	16.9282	0.556831	-0.830585	-0.00822183	-0.0107865	0.00266688	-0.999938	0.830556	0.556886	-0.00747409	10.3664	14.5463	19.4198	0.626753	-0.779122	0.0121966	0.0432853	0.0191835	-0.998879	0.778015	0.626578	0.0457478
0.04	4.99932	16.6011	12.1958	0.592995	0.000984775	-0.805205	0.00461562	0.999979	0.00462217	0.805193	-0.00645744	0.592978	6.78028	18.6149	14.5985	0.600048	0.00321993	-0.799957	-0.0031862	0.999994	0.00163513	0.799958	0.00156767	0.600055	8.58042	18.6053	16.9983	0.610875	-0.791718	-0.00385695	-0.00321898	0.00238788	-0.999992	0.79172	0.610883	-0.00108983	10.413	18.5957	19.3735	0.585995	-0.81031	-0.0028595	-0.00336356	0.00109644	-0.999994	0.810308	0.586001	-0.00208301	6.77634	14.615	14.6243	0.645873	0.00980029	-0.763382	-0.013433	0.999909	0.00147158	0.763326	0.00930405	0.645946	8.71396	14.5747	16.9143	0.549013	-0.835749	-0.0104082	-0.0130611	0.00387261	-0.999907	0.835712	0.549098	-0.00878966	10.361	14.5355	19.4214	0.631547	-0.775214	0.0138572	0.0538969	0.0260652	-0.998206	0.773462	0.631161	0.058243
0.044	4.99936	16.6013	12.1948	0.592036	0.000870321	-0.805911	0.00580631	0.999969	0.00534531	0.80589	-0.00784398	0.592013	6.77721	18.6186	14.5968	0.600174	0.004361	-0.799858	-0.00401832	0.999989	0.00243701	0.79986	0.00175145	0.600185	8.57773	18.6066	16.9964	0.611917	-0.790906	-0.00499795	-0.00406562	0.00317365	-0.999987	0.790911	0.611929	-0.00127351	10.4135	18.5944	19.3691	0.584321	-0.811515	-0.00339723	-0.00402274	0.00128973	-0.999991	0.811512	0.58433	-0.0025109	6.77373	14.6188	14.6282	0.653145	0.0124064	-0.757132	-0.0160339	0.999868	0.00255213	0.757063	0.0104729	0.653257	8.73316	14.5707	16.8994	0.540732	-0.841094	-0.0130093	-0.0154073	0.0055598	-0.999866	0.841054	0.54086	-0.00995266	10.3554	14.5244	19.4225	0.636251	-0.771329	0.0153947	0.0652118	0.0338869	-0.997296	0.768721	0.635534	0.0718602
0.048	4.99946	16.6015	12.1938	0.591161	0.000620188	-0.806553	0.00714574	0.999956	0.00600636	0.806522	-0.00931415	0.591131	6.77419	18.6228	14.5947	0.600457	0.00570427	-0.799637	-0.00495462	0.999982	0.00341296	0.799642	0.00191256	0.600474	8.57556	18.608	16.9936	0.6126	-0.790368	-0.00634104	-0.00501833	0.00413311	-0.999979	0.790377	0.612619	-0.00143438	10.4134	18.5929	19.3648	0.582843	-0.812575	-0.00402079	-0.00471067	0.00156928	-0.999988	0.812571	0.582855	-0.00291313	6.77171	14.623	14.632	0.660075	0.0154394	-0.751041	-0.0188071	0.999815	0.00402441	0.750964	0.0114685	0.660244	8.75193	14.5666	16.8849	0.53276	-0.846114	-0.0160375	-0.0178059	0.00773916	-0.999812	0.846079	0.532945	-0.0109427	10.3502	14.5132	19.4231	0.640554	-0.767729	0.0168551	0.0771739	0.0425209	-0.996111	0.764026	0.639363	0.0864855
0.052	4.99964	16.6017	12.1927	0.590258	0.000270524	-0.807215	0.00865391	0.99994	0.00666309	0.807168	-0.0109185	0.59022	6.77095	18.6275	14.5924	0.600831	0.00724085	-0.799343	-0.00600691	0.999972	0.00454311	0.799353	0.00207194	0.600858	8.57344	18.6095	16.9904	0.613191	-0.789896	-0.00787739	-0.00608923	0.00524534	-0.999968	0.789911	0.613219	-0.00159346	10.413	18.5912	19.3602	0.581383	-0.813616	-0.00474565	-0.00541941	0.00196017	-0.999983	0.813612	0.581399	-0.00326971	6.76987	14.6277	14.636	0.667066	0.01887	-0.74476	-0.0218133	0.999745	0.00579287	0.74468	0.0123814	0.667307	8.77106	14.5623	16.8701	0.524672	-0.851082	-0.0194631	-0.0203021	0.0103469	-0.99974	0.851062	0.524931	-0.01185	10.3451	14.5014	19.4233	0.644526	-0.764363	0.0183213	0.0899478	0.0520061	-0.994588	0.759273	0.642685	0.102272
