"left_hip_extensor_controller_torso"	13	0
"left_hip_extensor_controller_thigh"	13	0
"left_hip_flexor_controller_torso"	13	13
"left_hip_flexor_controller_thigh"	13	13
"left_knee_extensor_controller_thigh"	13	26
"left_knee_extensor_controller_calf"	13	26
"left_knee_flexor_controller_thigh"	13	39
"left_knee_flexor_controller_calf"	13	39
"left_ankle_dorsiflexor_controller_calf"	13	52
"left_ankle_dorsiflexor_controller_foot"	13	52
"left_ankle_plantarflexor_controller_calf"	13	65
"left_ankle_plantarflexor_controller_foot"	13	65
"right_hip_extensor_controller_torso"	13	78
"right_hip_extensor_controller_thigh"	13	78
"right_hip_flexor_controller_torso"	13	91
"right_hip_flexor_controller_thigh"	13	91
"right_knee_extensor_controller_thigh"	13	104
"right_knee_extensor_controller_calf"	13	104
"right_knee_flexor_controller_thigh"	13	117
"right_knee_flexor_controller_calf"	13	117
"right_ankle_dorsiflexor_controller_calf"	13	130
"right_ankle_dorsiflexor_controller_foot"	13	130
"right_ankle_plantarflexor_controller_calf"	13	143
"right_ankle_plantarflexor_controller_foot"	13	143
