time	torso_X	torso_Y	torso_Z	torso_R00	torso_R01	torso_R02	torso_R10	torso_R11	torso_R12	torso_r20	torso_R21	torso_R22	left_arm_X	left_arm_Y	left_arm_Z	left_arm_R00	left_arm_R01	left_arm_R02	left_arm_R10	left_arm_R11	left_arm_R12	left_arm_r20	left_arm_R21	left_arm_R22	left_forearm_X	left_forearm_Y	left_forearm_Z	left_forearm_R00	left_forearm_R01	left_forearm_R02	left_forearm_R10	left_forearm_R11	left_forearm_R12	left_forearm_r20	left_forearm_R21	left_forearm_R22	left_hand_X	left_hand_Y	left_hand_Z	left_hand_R00	left_hand_R01	left_hand_R02	left_hand_R10	left_hand_R11	left_hand_R12	left_hand_r20	left_hand_R21	left_hand_R22	right_arm_X	right_arm_Y	right_arm_Z	right_arm_R00	right_arm_R01	right_arm_R02	right_arm_R10	right_arm_R11	right_arm_R12	right_arm_r20	right_arm_R21	right_arm_R22	right_forearm_X	right_forearm_Y	right_forearm_Z	right_forearm_R00	right_forearm_R01	right_forearm_R02	right_forearm_R10	right_forearm_R11	right_forearm_R12	right_forearm_r20	right_forearm_R21	right_forearm_R22	right_hand_X	right_hand_Y	right_hand_Z	right_hand_R00	right_hand_R01	right_hand_R02	right_hand_R10	right_hand_R11	right_hand_R12	right_hand_r20	right_hand_R21	right_hand_R22
0.004	5	16.6	12.2	0.6	0	-0.8	0	1	0	0.8	0	0.6	6.8	18.6	14.6	0.6	0	-0.8	0	1	0	0.8	0	0.6	8.6	18.6	17	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796	10.4	18.6	19.4	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796	6.8	14.6	14.6	0.6	0	-0.8	0	1	0	0.8	0	0.6	8.6	14.6	17	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796	10.4	14.6	19.4	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796
0.008	5	16.6	12.2	0.6	0	-0.8	0	1	0	0.8	0	0.6	6.8	18.6	14.6	0.6	0	-0.8	0	1	0	0.8	0	0.6	8.6	18.6	17	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796	10.4	18.6	19.4	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796	6.8	14.6	14.6	0.6	0	-0.8	0	1	0	0.8	0	0.6	8.6	14.6	17	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796	10.4	14.6	19.4	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796
0.012	5.00003	16.6	12.1998	0.600146	-3.02007e-05	-0.799891	2.94869e-06	1	-3.55437e-05	0.799891	1.89728e-05	0.600146	6.80041	18.6	14.5995	0.599613	-0.000142816	-0.80029	0.000237969	1	-1.58253e-07	0.80029	-0.000190349	0.599613	8.59925	18.6007	17.0004	0.600081	-0.799939	-0.000494477	0.000237503	0.000796308	-1	0.799939	0.600081	0.000667837	10.3995	18.6014	19.4002	0.60068	-0.799488	-0.00126879	-0.00105216	0.000796486	-0.999999	0.799489	0.600681	-0.000362756	6.80053	14.6	14.5995	0.599523	0.000236499	-0.800357	-0.000394069	1	3.06833e-07	0.800357	0.000315212	0.599523	8.5991	14.5988	17.0005	0.600008	-0.799994	-0.000873845	-0.000394551	0.000796395	-1	0.799994	0.600008	0.000162205	10.3991	14.5976	19.4005	0.600799	-0.7994	-0.000238235	0.000655015	0.000790301	-0.999999	0.7994	0.600798	0.000998432
0.016	5.00007	16.6	12.1995	0.600168	2.76479e-05	-0.799874	-5.76282e-05	1	-8.67473e-06	0.799874	5.13016e-05	0.600168	6.80063	18.5998	14.5992	0.598994	-0.000427291	-0.800753	0.000712047	1	-9.73138e-07	0.800753	-0.000569591	0.598994	8.59761	18.602	17.0015	0.600678	-0.799491	-0.00021037	0.000710371	0.00079685	-0.999999	0.799491	0.600678	0.00104659	10.3996	18.6041	19.3999	0.601253	-0.799055	-0.00238761	-0.00291147	0.000797267	-0.999995	0.799053	0.601258	-0.00184707	6.80052	14.5998	14.599	0.59973	0.000523589	-0.800202	-0.000873174	1	-9.90315e-08	0.800202	0.000698775	0.59973	8.59971	14.5972	16.9996	0.599002	-0.800746	-0.00116081	-0.00087245	0.000797021	-0.999999	0.800747	0.599003	-0.000221194	10.3967	14.5946	19.4018	0.602576	-0.798061	0.000124611	0.00145956	0.000945897	-0.999998	0.79806	0.602576	0.00173479
0.02	5.00013	16.6	12.199	0.60018	2.53383e-05	-0.799865	-4.47797e-05	1	-1.92239e-06	0.799865	3.69715e-05	0.60018	6.80072	18.5999	14.5986	0.59805	-0.000777062	-0.801459	0.00129322	0.999999	-4.55282e-06	0.801458	-0.00103374	0.59805	8.59487	18.6037	17.003	0.601871	-0.798593	0.000138839	0.00128943	0.000797941	-0.999999	0.798592	0.60187	0.00150999	10.4005	18.6076	19.3988	0.601575	-0.798807	-0.00384464	-0.00532919	0.000799543	-0.999985	0.798799	0.601587	-0.00377601	6.80062	14.5999	14.5985	0.599566	0.000955857	-0.800324	-0.00160298	0.999999	-6.54152e-06	0.800323	0.00128682	0.599567	8.59932	14.595	16.9995	0.598679	-0.800987	-0.00159318	-0.0016021	0.000791559	-0.999998	0.800987	0.598681	-0.000809373	10.3954	14.5902	19.4024	0.604219	-0.796818	0.000636873	0.00271383	0.0012586	-0.999996	0.796814	0.604218	0.0029229
0.024	5.00022	16.6	12.1983	0.60022	4.26301e-05	-0.799835	-7.48127e-05	1	-2.84307e-06	0.799835	6.15442e-05	0.60022	6.80096	18.5997	14.5979	0.596905	-0.00122549	-0.802311	0.00205694	0.999998	2.87841e-06	0.802309	-0.00165203	0.596907	8.59168	18.6059	17.0049	0.603051	-0.797703	0.000586593	0.00205074	0.00081498	-0.999998	0.7977	0.60305	0.00212736	10.4008	18.6121	19.398	0.602602	-0.798022	-0.00566139	-0.00831614	0.000814347	-0.999965	0.797998	0.602628	-0.00614573	6.80079	14.5997	14.5977	0.599331	0.00135421	-0.8005	-0.00227172	0.999997	-9.13368e-06	0.800498	0.00182399	0.599333	8.59879	14.5929	16.9992	0.598198	-0.801346	-0.00199166	-0.0022706	0.000790406	-0.999997	0.801345	0.5982	-0.00134672	10.3934	14.5861	19.4032	0.606227	-0.795291	0.000905463	0.00385039	0.00179652	-0.999991	0.795282	0.606225	0.00415128
0.028	5.00034	16.5999	12.1975	0.600396	-4.43584e-05	-0.799702	-0.000121641	1	-0.000146794	0.799702	0.000185411	0.600396	6.80144	18.5996	14.597	0.596099	-0.00175462	-0.802909	0.00299458	0.999996	3.79342e-05	0.802906	-0.00242699	0.596101	8.58973	18.6085	17.0057	0.603221	-0.797573	0.00111524	0.00298704	0.000860877	-0.999995	0.797568	0.603222	0.00290168	10.3994	18.6175	19.3984	0.60496	-0.796217	-0.00788605	-0.0119193	0.000847516	-0.999929	0.796167	0.605011	-0.00897761	6.80162	14.5996	14.5962	0.598159	0.00174667	-0.801376	-0.00291464	0.999996	4.05522e-06	0.801372	0.00233329	0.598161	8.59609	14.5908	17.0003	0.598636	-0.801017	-0.00238483	-0.00291511	0.000798641	-0.999995	0.801016	0.598641	-0.00185696	10.392	14.5821	19.4034	0.608044	-0.793903	0.00102199	0.00488771	0.00245617	-0.999985	0.793888	0.60804	0.00537383
0.032	5.00054	16.5999	12.1965	0.600899	-0.000247856	-0.799325	-0.000108767	1	-0.000391848	0.799325	0.000322402	0.600899	6.80274	18.5996	14.5951	0.594248	-0.00235758	-0.804278	0.00407791	0.999992	8.1727e-05	0.804271	-0.00332834	0.594253	8.58549	18.6118	17.0079	0.604572	-0.796548	0.00171711	0.00406624	0.000930571	-0.999991	0.79654	0.604574	0.00380156	10.3992	18.624	19.3975	0.606881	-0.794723	-0.0105709	-0.0162342	0.000902608	-0.999868	0.794627	0.606972	-0.0123539	6.80373	14.5996	14.5938	0.595349	0.00221997	-0.803464	-0.00365757	0.999993	5.28062e-05	0.803459	0.00290728	0.595353	8.58978	14.5886	17.0042	0.600703	-0.799467	-0.00285979	-0.00366316	0.000824674	-0.999993	0.799464	0.600709	-0.00243319	10.3919	14.5776	19.4026	0.609317	-0.792926	0.00118076	0.00603554	0.00314888	-0.999977	0.792904	0.60931	0.0067044
0.036	5.00074	16.5998	12.1953	0.601198	-0.000436696	-0.7991	-0.000183293	1	-0.000684384	0.7991	0.00055792	0.601198	6.80346	18.5992	14.5937	0.593022	-0.00311698	-0.80518	0.00543742	0.999985	0.000133605	0.805168	-0.00445734	0.59303	8.58253	18.6156	17.0092	0.605293	-0.795999	0.00247579	0.00542253	0.00101315	-0.999985	0.795984	0.605298	0.00492958	10.3984	18.6318	19.3972	0.60932	-0.792803	-0.0138573	-0.0214799	0.00096617	-0.999769	0.792633	0.609477	-0.0164407	6.80521	14.5992	14.5915	0.592947	0.00257197	-0.805237	-0.0041862	0.999991	0.000111464	0.805231	0.0033048	0.592952	8.58405	14.5867	17.0072	0.60201	-0.798482	-0.00321321	-0.0041962	0.00086041	-0.999991	0.798477	0.602018	-0.00283261	10.3901	14.5741	19.4026	0.611175	-0.791495	0.00103337	0.00670024	0.00386823	-0.99997	0.791467	0.611164	0.00766737
0.04	5.00096	16.5997	12.194	0.601318	-0.000616248	-0.799009	-0.000253938	1	-0.000962373	0.79901	0.000781592	0.601318	6.80369	18.5989	14.5926	0.592006	-0.00399513	-0.805924	0.00702166	0.999975	0.000200808	0.805903	-0.00577781	0.592019	8.5797	18.62	17.0103	0.605645	-0.795728	0.00335335	0.00700367	0.00111655	-0.999975	0.795704	0.605653	0.00624924	10.3966	18.641	19.3974	0.612682	-0.790128	-0.0178388	-0.0276916	0.00109573	-0.999616	0.789844	0.612941	-0.0212086	6.80615	14.5989	14.5895	0.590743	0.00289206	-0.806854	-0.00470282	0.999989	0.00014112	0.806846	0.00371112	0.59075	8.57838	14.5848	17.01	0.603349	-0.79747	-0.00353457	-0.00471697	0.000863426	-0.999989	0.797464	0.603358	-0.00324069	10.3884	14.5707	19.4024	0.612942	-0.790128	0.000894831	0.00721074	0.00446126	-0.999964	0.790095	0.612926	0.00843189
0.044	5.00121	16.5996	12.1926	0.601245	-0.000762004	-0.799064	-0.000299228	0.999999	-0.00117877	0.799065	0.000947832	0.601244	6.80342	18.5987	14.5917	0.590961	-0.00499469	-0.806685	0.00881245	0.999961	0.000264443	0.806652	-0.00726515	0.590982	8.57631	18.6251	17.0117	0.606014	-0.795442	0.0043523	0.00879097	0.00122613	-0.999961	0.795405	0.606029	0.00773576	10.3943	18.6515	19.3979	0.616694	-0.786881	-0.0225272	-0.0348435	0.00130354	-0.999392	0.786432	0.617104	-0.0266138	6.80647	14.5987	14.5879	0.58896	0.00315633	-0.808156	-0.00523162	0.999986	9.29008e-05	0.808145	0.00417325	0.588969	8.57335	14.583	17.0124	0.604445	-0.796638	-0.00379989	-0.0052478	0.0007881	-0.999986	0.79663	0.604456	-0.00370423	10.3867	14.5672	19.4022	0.614698	-0.788762	0.000824066	0.00761613	0.00489069	-0.999959	0.788726	0.614679	0.00901362
0.048	5.00145	16.5994	12.1911	0.600951	-0.00083469	-0.799286	-0.000418197	0.999999	-0.00135872	0.799286	0.00115078	0.60095	6.80263	18.5981	14.5913	0.590279	-0.00618585	-0.807175	0.0108545	0.999941	0.000274693	0.807126	-0.00892367	0.590312	8.57347	18.6307	17.0126	0.606132	-0.795345	0.00554308	0.0108312	0.0012855	-0.999941	0.79529	0.606156	0.00939375	10.3919	18.6632	19.3985	0.620912	-0.783387	-0.0278012	-0.0428511	0.00149203	-0.99908	0.782708	0.621533	-0.0326426	6.80597	14.5982	14.5867	0.58805	0.00326414	-0.808818	-0.0055745	0.999984	-1.73049e-05	0.808805	0.00451893	0.588059	8.57012	14.5814	17.0131	0.604527	-0.796575	-0.00390822	-0.00558931	0.000664433	-0.999984	0.796565	0.604539	-0.00405064	10.3837	14.5647	19.4028	0.616899	-0.787042	0.000604296	0.0075539	0.00515312	-0.999958	0.787006	0.616877	0.0091242
0.052	5.00178	16.5992	12.1894	0.600914	-0.000979541	-0.799313	-0.000453056	0.999999	-0.00156608	0.799314	0.00130321	0.600912	6.80256	18.5979	14.59	0.58852	-0.00748287	-0.808448	0.0129989	0.999915	0.000207644	0.808378	-0.0106311	0.588568	8.56812	18.6369	17.0151	0.607483	-0.794304	0.00683908	0.0129715	0.00131116	-0.999915	0.794227	0.60752	0.0110998	10.3906	18.6758	19.3978	0.624658	-0.780179	-0.0335113	-0.0514308	0.00171785	-0.998675	0.779203	0.625554	-0.0390522	6.80648	14.5979	14.5847	0.586079	0.00331432	-0.810247	-0.0060444	0.999982	-0.000281692	0.810231	0.00506255	0.586089	8.56472	14.5797	17.0154	0.605817	-0.795594	-0.00395954	-0.00605522	0.000365905	-0.999982	0.795581	0.605829	-0.00459583	10.3822	14.5616	19.4022	0.618486	-0.785795	0.000646887	0.00758882	0.00514985	-0.999958	0.785759	0.618465	0.00914837
